Name,Economic,Temporal,Convenience,Sociopsychological,Quality,Other,Total
錦生牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
京瑋牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
自強牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
家和牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
龍安牙醫診所,0.000,0.000,0.000,3.912,0.000,3.938,1
新仁德牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
同德牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
立洋牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
齡雅牙科牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
京采牙醫診所,0.000,0.000,0.000,1.200,0.000,2.438,3
陽光聯合牙醫診所,1.057,0.000,0.000,0.648,0.000,3.302,7
康齡牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
晴越牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
豐恩牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
益皓牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
大有牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
南加大牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
向陽牙醫診所,0.000,0.000,0.000,0.000,3.813,3.744,1
尚霖牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
家欣牙醫,0.000,0.000,0.000,0.000,0.000,0.000,0
優尚牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
尚揚牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
快樂牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
佳樂牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
葡萄藤牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
叮噹牙醫診所,0.000,0.000,0.000,0.000,0.000,3.656,1
豐成牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
優利牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
向日葵牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
淯群牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
冠倫牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
風采牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
新成牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
維佑牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
協和牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
家禾牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
禾康牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
禾豐牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
和悅牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,2
寶山牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
榮美麗緻牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
微登牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
展新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
達美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
潔德美學牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
聖(山+夆)牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
藝文君品牙醫診所,0.000,0.000,0.000,0.000,4.050,0.000,1
新悅牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
美麗新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
旭陽牙醫診所,0.000,0.000,0.000,0.000,3.588,0.000,1
建嘉牙醫診所,0.000,0.000,0.000,4.050,0.000,0.000,1
完美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
健華牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
瑞康牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
風采矯正牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
康喬口腔外科牙醫診所,0.000,0.000,-0.466,0.502,1.089,2.682,7
明陽牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
瑞宏牙醫診所,0.000,0.000,0.000,3.912,0.000,3.938,1
合康美學牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
用心牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
藝品牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
固德牙醫診所,0.000,0.000,0.000,0.000,0.000,3.603,2
宗賢牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
澄禾牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
品杏牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
江牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
大明牙醫診所,0.000,0.000,0.988,0.000,0.000,3.841,4
森森牙醫診所,0.000,0.000,0.000,0.000,3.813,0.000,1
東光牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
良昇牙醫診所,0.000,0.000,0.125,1.411,0.586,2.537,29
大眾牙醫診所,3.500,0.000,-3.550,0.250,4.050,3.744,2
名揚牙醫診所,0.000,0.000,0.000,0.796,0.425,3.311,10
杜牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
華仁牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
坤泰牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
遠東牙醫診所,0.000,0.000,0.000,2.025,0.000,3.550,4
大和牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
王牙醫診所,0.000,0.000,0.000,0.000,0.000,2.423,3
祥齡牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
新明牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宏儒牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
奕傑牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
廖永楷牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
尚賢牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
范姜牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
長江牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
逢良牙醫診所,0.000,0.000,0.000,3.800,0.000,0.000,2
良銘牙醫診所,3.700,0.000,0.000,0.000,0.000,0.000,2
揚昇牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
政寧牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
華國牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
杏福牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
立人牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
汎美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
時代牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
紐大牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
康碩牙醫診所,0.000,0.000,1.436,1.986,0.000,1.362,11
順泰牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
德暉牙醫診所,0.000,0.000,0.000,3.725,0.000,0.000,2
超凡牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
潔美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
博揚牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
弘恩牙醫診所,3.175,0.000,0.000,0.000,0.000,2.367,3
佳新牙醫診所,0.000,0.000,0.652,0.038,0.000,3.088,12
上揚牙醫診所,0.000,0.000,0.000,3.962,2.025,1.969,2
慈惠牙醫診所,0.000,0.000,0.000,0.000,0.000,3.647,2
超品牙醫診所,0.000,0.000,0.000,0.773,0.000,3.705,5
福星牙醫診所,0.000,0.000,0.000,4.050,0.000,3.550,2
佳承牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
韋承牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
群英牙醫診所,0.000,0.000,0.000,0.500,0.000,3.661,7
春田牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
智揚牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
元培牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
精英牙醫診所,0.000,0.000,0.000,0.000,4.050,0.000,1
煥生牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
中心牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
華大牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
貝多芬牙醫診所,1.233,0.000,0.000,3.613,0.000,2.367,3
智康牙醫診所,0.000,0.000,0.000,2.025,0.000,1.872,2
健昇牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
國際牙醫診所,0.000,0.000,0.000,2.025,0.000,1.775,2
新生牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宏源牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,3
至善牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,2
全家福牙醫診所,0.000,0.000,0.000,-1.131,0.000,2.431,6
名贊牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
永潔牙醫診所,0.000,0.000,0.232,0.456,0.429,2.846,17
精誠牙醫診所,0.000,0.000,0.790,1.620,1.700,2.995,5
永福牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
鼎新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
冠眾牙醫診所,2.697,0.000,2.064,3.479,2.122,2.470,9
東津牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
源泰牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
德欣牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
建田牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
育德牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
上品杏林牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,4
典範牙醫診所,-0.811,0.000,0.000,1.700,0.000,1.745,13
宏悅牙醫診所,0.000,0.000,3.875,0.000,0.000,0.000,1
品臻牙醫診所,-1.004,0.495,0.554,0.032,1.214,2.173,7
新典美學牙醫診所,0.000,0.000,0.000,2.183,0.000,3.380,11
壯青牙醫診所,1.688,0.000,0.000,3.950,0.000,0.000,4
晶鑽牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
益智牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
非凡牙醫診所,0.000,0.000,0.000,0.000,0.000,3.813,1
品碩牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
高第牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
阿米答牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
名一牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
聯安牙醫診所,0.000,0.000,3.950,0.000,4.250,3.550,2
當代牙醫診所,0.388,0.000,0.290,0.836,0.718,2.308,40
新當代牙醫診所,0.378,0.000,1.228,-0.183,0.512,-0.291,15
吉品牙醫診所,0.000,0.000,3.950,0.000,0.000,3.550,1
青青牙醫診所,0.000,0.000,0.000,1.629,0.000,2.093,7
綠光牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
桃樂絲牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
澄品牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
歐唯貝斯牙醫診所,0.000,0.000,0.000,0.476,1.168,2.305,10
品安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
晶華牙醫診所,0.000,0.000,0.000,1.975,0.000,1.775,2
亞緻牙醫診所,0.000,0.000,0.000,4.050,0.000,3.588,5
A21牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宏綺牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
維思登牙醫診所,0.000,0.000,0.000,0.000,-3.563,3.938,1
微美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
彼德牙醫診所,0.000,0.000,0.000,4.050,0.000,3.550,1
當代明新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
格林牙醫診所,0.454,0.000,0.000,0.579,0.607,2.139,7
當代興國牙醫診所,0.000,0.000,0.000,3.725,4.050,3.938,1
康雅牙醫診所,0.000,0.000,0.000,1.023,0.000,3.098,7
新隆豐牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
元化澄品牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
新中北牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
澄心牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
國泰牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
信安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
康絜牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
品品牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
聯華牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
嘉南牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
京東牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
珈陞牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
昇洋牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
范牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
尚倫牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
大千牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
爵欣牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
愛德牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
涂牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宏康牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
仁愛牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
永生牙醫診所洪德（方方土）,0.000,0.000,0.000,0.000,0.000,0.000,0
康潔牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
自然牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
華聖牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
永康牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
連美牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
東太牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
益新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
鈺恩牙醫診所,0.000,0.000,0.000,0.000,0.000,3.938,1
新新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宸康牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
天祥牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
上誠牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
當代楊新牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
凱虹牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
新芳牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
協美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
天仁牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
芳川牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
微笑牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
天一牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
上林牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
吉美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宏福牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
惠群牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
三三牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
永泰牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
康華牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宏慈牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
京敦牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
合心牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
維成牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
長興牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
佳揚牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
臻品牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
健成牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
源泓牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
家恩牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
哈佛牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
謙謙牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
捷登牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
新亞牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
東暘牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
東信牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
四季牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
翔美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
登峰牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
吉慶牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
京典牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
銘深牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
京展牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
糸爭瑩牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
安欣牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
瑞恩牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
璽悅牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
弘醫牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
優仕美牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
華盛頓美學牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
賴牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
大園牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
惠鄰牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
黃炳日牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
惠民牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
大華牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
群盛牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
慶林牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
果林牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
卡好牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
東林牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
尚品牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
聯新機場牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
口生牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
順天牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
光華牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
龜山楊牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
東昇牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
夏德仁牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
林國禎牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
福華牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
宋洪德牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
康普牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
王治國牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
新康牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
全家牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
翔泰牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
文心牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
長春藤牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
青山牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
禾欣牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
小哈佛牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
正光牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
啟安牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
華雅牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
孫福龍牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
梵谷美學牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
四維龍華牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
品悅牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
泓泰牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
立潔牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
同心圓牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
蒲公英牙醫診所,0.000,0.000,0.000,0.000,0.000,3.550,1
樂心牙醫診所,0.000,0.000,0.000,0.000,0.000,0.000,0
