name,content
magicen,壢新智齒王+1，之前拔水平智齒術後狀況良好!難預約
woodpie,壢新智齒王 四顆都給他拔 一次拔兩顆 分別15分3分結束
Egiot,桃園藝文特區康喬，當天中午拔四顆水平智齒，晚上就逛夜市 吃燒烤
flowerskirt,壢新智齒王+1
becausemusic,智齒王 我給他拔完後當天晚上吃饅頭  隔天吃火鍋吃到飽
keung,拔4顆智齒 下2顆水平 上2顆 只能含淚推壢新智齒王了
momo1119,歐衛貝斯 快又親切
tydjc,壢新王宏仁醫生大推！上週才剛拔完_過程不痛，醫生超溫柔 _
revlon,智齒王超厲害，扣掉上麻藥等候的時間，根本不用三分鐘！
tevil,中原新中北路 永潔邵國彬醫生，拔過兩顆智齒完全無痛快速
kfshiang,水平智齒兩顆都是壢新智齒王
Qzzzz,壢新智齒王+1  四顆都給他拔
ees1123,王宏仁醫師，推薦很多人去拔了！
dralanpa,中山東路一段，康碩牙醫，完全預約制，非常細心，當自己 牙齒在拔
cookingmama,智齒王等一個月絕對值得喇
sk6,壢新 智齒王+1
xcatcat,聯安拔過 一小時後就可吃烤雞.. 當初沒有預約直接去
littleconan,推文是在同學會嗎？好歡樂
hsuan25123,壢新 王宏仁醫生真的很厲害，之前去小診所拔花了快 一個小時，王醫生只要幾分鐘就好了
smallgi00,想知道原po如何預約到12/19？我網路都預約不到QQ 哎呀 我看錯 我想預約假日每次都搶不到拉QQ
fountainB,元化澄品劉醫師
ingridlyon,青青 但預約要排很久
lses60230,晶華不錯  在sogo接駁車旁
Note5edge,青青不錯
ann30324,內壢的康雅不錯
violetyu,我在慈惠三街澄品覺得不錯
derekQQ,你/妳 這樣問，會有眾多答案
becku,推薦康碩牙醫，很有耐心
milkmari,我之前在健行科大附近的大明牙科矯正，覺得還蠻不錯的 _
bking,A21黃院長
blue28082,群英牙醫 因為可以不用在一開始戴牙套就先付一大筆錢出 去 可以慢慢還 在中壢的大時鐘附近啊 燦坤對面(不知道現在還是不是燦 坤) 很小間的牙醫診所
lim10337,群英好像在新北市耶
benetikuto,我在歐唯貝斯做的，很推，醫師很有耐心技術也很好。
terry31224,歐唯貝斯，沒第二選擇了
zhong303,大明推一個，只是預約要等很久
chahoo,歐唯貝斯+1
fatthg,歐唯貝斯真的還不錯 推薦陳醫師
leo19841010,群英算不錯，大都作熟客
b85040312,醫生護士一起崩潰喔?
revue,推貝多芬，我在那矯正，醫生人很客氣，價錢又合理
benetikuto,好誇張。 態度好差 我也是在歐唯矯正，蠻不錯的。其實價錢來說我覺得只 比其他間貴一些而已，再說有些診所骨釘等等還要另外 算錢..... 而且哪個人矯正前不多家比較啊?!!!會在意的醫生真的 心態有問題。
espanol,我就是在這家用的，覺得醫生技術不怎麼樣，那時牙套拆了 我還是覺得上排歪，上排又重帶了半年多，而且醫生只是每 次幫我喬位置調緊而已
TennisC,會不會醫師覺得沒必要阿？ 就像科p那樣說話直接？只是做個假使
a237,"E大有在這邊用哦！謝謝你的分享 我覺得醫生直接拿手機出來玩Line不看病人說話..讓我感覺很 輕佻＞＜ 可能下午診看下來 醫護都累了...可能去這家要諮詢矯正，'' 儘量別說有在別家諮詢過..不然他們可能以為只是問問 嗯嗯 其實經過2家的諮詢.仔細想歐唯貝斯沒有比較貴＞＜ 開 的價差不多.（可是蕭醫師說我矯正完""臉會變大""..讓我有點卻 步） 但歐唯貝斯 我有看資料有參加""矯正協會 專科 會考慮還是回去 吧！"
peggie,青青牙醫看過後，到永福牙醫諮詢時老實講，醫生沒怎麼樣耶 醫生個人問題吧？
y1324,誇張 這種囂張的牙醫實在沒有去的必要
jh17,歐唯貝斯的蕭醫師超細心的！
deity20270,推歐唯貝斯! 目前矯正半年多
zxxxxa,印象中這家不錯阿!可能醫生說話太直了吧
jk1982,很清楚醫生覺得妳只是來問價錢而已
guan0410,我也是在歐唯貝斯矯正，醫生是陳醫生~這是我第二次矯正 小時候的牙醫好兇~造成我不愛回診.所以只弄一半 最後沒回診的後果就是打回原形.原本不想再管牙齒了 但去到歐唯貝斯諮詢.醫生護士的態度讓我很放心.也不害怕 目前矯正2年.感覺時間過超快~我12/8就要拆矯正器了 矯正是長期抗戰.為了省錢接受2年以上的壓力痛苦~不值得 我比較過別家戴蒙差價1-2萬.歐唯貝斯我的部分才差五千 真的比較起來~歐唯貝斯也不算貴.我全口矯正13萬用戴蒙
bettyppt,我的醫師還推薦我去這家咨詢勒，還好沒聽他的話...
fatthg,我也是在歐唯貝斯 陳醫師很細心 牙齒一顆一顆微調
jayahting,我是給女醫師看的，態度超好欸，小問題也都耐心解釋， 看我的表情太痛苦會適時停一下，我去過一次就是死忠客 戶了
honey1113,我也是這家做的，效果很好，醫生說話比較直接，但覺得 技術不錯 建議多比較，畢竟要相處很久，加油
raybdbd,典範~
gracehoward,明揚
nonopower,壢新，我車禍送那邊就順便在那邊做了
istoday,大園 群盛牙醫的黃敬輝醫師 人很nice 技術很好
georginapi,新典 夏醫師
whitecolor78,推非凡，我在那邊做兩顆，一顆2.2
f5920y2055,當代牙醫
n122441598,朋友介紹下，去了當代牙醫做，結果我很滿意喔
tomshiou,台北做也才一萬 桃園是怎麼了
jasonlllll,做過全瓷冠一顆一萬初頭
octsix30,樓上可以說一下名字嗎？謝謝 是的，我目前想做的就是整顆都二氧化鋯 D大有覺得哪間不錯的嗎？
gugu1031,全瓷冠也是有分材質跟硬度的，所以價格都會有點落差哦！
wilsona,可以去 藝文特區的 聖_牙醫 找林院長喔
may114021,大竹經典牙醫全瓷冠12000起
weihao9420,想知道+1
andy2151,全瓷冠指的是整顆材質都是二氧化鋯，不是表面燒瓷就叫 全瓷冠唷。
daisy1130,"最近我也是有兩顆門牙要做,目前也是在評估中"
tienchunhung,桃園 瑞康牙醫 林院長 or 翁醫師
Tammy6520,想知道+1
Bigemma,我之前在微美牙醫做前面兩顆門牙的牙套，全瓷，顏色還滿o k的，給你參考
frank1401,我媽媽在當代牙醫給黃詩詠醫師做牙周手術 可以去評估看 看 當代牙醫聽我媽說是全方位的治療 包含假牙 建議你打 電話詢問
faker,格林牙醫，假牙是贗復專科醫師負責，也有牙周專科醫師 我是牙周專科，不過在中壢駐診的診所沒有贗復專科 所以建議你去格林評估，不會是最便宜，但治療計畫完整
S99663,格林要延至下週囉 沒掛到牙髓專科...
ckhclaire,桃園區陽光牙科的林震濤醫師_周圍的朋友好幾位請他看 ，是專看牙周病跟植牙的醫師，本人也很親切溫柔哦
rcchen,推薦 桃園 和悅牙醫 陳醫生
qazchu,格林牙周醫師讓我感覺不是很好，不過張醫師就滿專業的
t22745660,可以先塞個紗布
cookiesrain,可以包蠟吧 ？
wplinwp,直接找一家診所掛號，我相信醫生不會不幫你處理？
runningcow,樓上，你知道不是每個牙醫都會用矯正病人嗎？
ninikaren,感謝版友回文 有版友寄信給我 已解決 謝謝
Jun-78,去台北吧
kutkin,我習慣去中壢 綠光
gwen31337,建議直接去中壢找 我也覺得楊梅埔心牙醫經驗都不好 埔心火車站附近華欣牙醫 不過如果不介意醫生有點老 我是蠻推薦那家的
Miuramaki,楊梅圖書館旁 那間不錯
alice2035,全家福對面，魏醫生是從天祥出來開的
chen0937,楊梅圖書館旁是楊梅天成牙醫出來開的 在楊梅天成補蛀牙一次，很快脫落，要重補 去過補牙不錯怡仁牙科鄒醫師、新屋省桃黃醫師 另外推薦洗牙很仔細，威士頓牛排旁的牙科是老醫師
flyroch,我推薦新成路上的鈺恩；別間打了三次麻醉都還拔不掉的牙 這15分鐘就無痛完成了...橫長的智齒拔也沒這麼痛
duck12321,你說的第一間跟第三間，一間馬虎一間仔細，你都不喜歡? 要補幾顆可能要看醫生吧，我也曾看過一間說要做根管4顆 換間只做了一顆的 0.0
cov,新成路的自然還不錯 雖然醫生很愛碎碎念
lpc812,推埔心火車站對面的新新牙醫 蠻實在的人(醫)/事(療)/物
tammy1928,老公是在元化路(靠錢櫃那段的元化路)的上揚牙醫看 蛀牙，看的是黃醫師(女)，說她很有耐心也較細心， 前後看了2個月左右，他都覺得很OK。他也是聽同事 事推薦去的。我過年前幾天超衰門牙斷了也是去這， 這家，當天只有另一名男醫師，感覺也蠻細心的。 不過此家診所外觀看起來較老舊，但診所器材不會！ 會感覺很爛，離中壢高中也不遠喔！ 夜市附近的當代牙醫老公也說很好，不過因為價格 因素(他要做牙套)，後來就換到上揚。
yyhhnn,看你講智齒旁的牙齦發炎，會不會是智齒發炎? 我年前也是智齒旁牙齦發炎很痛，而且腫了一週都不退 痛的受不了，去壢新醫院看王宏仁醫生，我是排當天掛號的 當天就拔智齒，牙齦腫就消了，不然之前腫大到耳朵都會痛 王宏仁醫生是專門拔牙的，網路預約滿到一個月以上所以要 去現場排隊喔，超感謝他救我的牙XDD
OkenBin,牙痛起來真的要人命
zomoun,推薦潔明牙醫戴醫生，前陣子也是牙齦發炎，戴醫生很細心
chubachu,謝謝大家的推薦和分享，目前先吃消炎藥和止痛藥等消炎
awelkin,離「青青牙科」很近，真不舒服去現場排。
jerico,有沒有願意打麻藥的牙醫，到現在我還是去台北看！ 中壢的牙醫是不是都不打麻藥，上次根管直接頭撞牙醫臉 我去了三間，再也不去中壢的牙醫了，感覺太危險
a1230929,推中原佳新黃寧柔醫生，很溫柔又細心，有次感覺神經痛， 看了三位醫生，很多醫生都說要抽神經試試，但是x光也沒 看到蛀到神經，只有她堅持不抽試試，沒想到被她找到疼痛 的原因!也沒抽神經~
lindating51,當代牙醫是蠻不錯的 之前去過這家 醫生看診很有耐心 而且他們家都會做全口的檢查 檢查起來比較仔細 我也 覺得比較放心
joyce102934,我也有去當代牙醫看過牙齒 去之前最好先打電話問一下 因為他們服務是真的還蠻不錯的 去的人很多 但應該也 是可以現場去那裡排隊 只是不一定會馬上排到就是了
bluesky2,很多牙醫都懶得先在皮膚上上麻藥 都直接打麻藥 多一個步驟 病人的感受差蠻多的
nonopower,潔明牙醫，不過是在平鎮
Messi10,跟樓上持相反意見  不推薦潔明
jjkelly,我在中壢中正路上的精誠牙醫看! 我是打麻藥的時候會有痛 感! 我也是超怕看牙醫的! 但我在這家遇到游醫師 目前看來 中間都不會一直跟我囉嗦，弄牙齒的時候也沒太多痛感! 這醫生我滿推的~ 我也不推潔明，很多年前我第一次做根管 我的媽呀她竟然 沒打麻藥 弄之前我就說我怕痛了! 弄的時候簡直要死了 且還沒弄乾淨! 後來我就換診所了~
tammy1928,剛從上揚牙醫踏出來，黃醫師真的超有耐心超溫柔！ 柔的，而且非常細心，問問題也會仔細回答，推！
jastea,之前新民國中對面一家國偉牙醫裡有個楊振華醫師會這樣做 但楊醫師跳槽後下落不明...有人知道他在哪裡嗎??
jerico,沒想到還真的有一些可以看的一生，謝謝分享，等老婆做完 月子，再帶他去試看看！
hanavine,民權路上的新當代牙醫標榜無痛治療，可以去試試哦！
av8d5299,強力推薦大湳中悅牙醫-石醫師 給他看 我感覺很享受^^ 他也在大湳和悅牙醫看週六診 發炎痛了去看 麻醉效果不彰 我建議趁早用 會沒感覺 因為我做兩顆 有發炎 沒發炎 各一
evilbear114,聖_牙醫吳醫生，很仔細認真 或者是林醫生，都會很仔細，不會馬虎
wilsona,我推聖_牙醫的林醫師，因為我之前給他做的時候，不會讓 我有不安的感覺！而且技術很好
loveawrybod,我大推 龍潭國軍醫院 黃耀民 根管治療專科主任 超厲 害唷 親身經歷好像很遠
chung8,"看過經國路陽光牙醫(院長看)&朝陽街的朝陽牙醫(鄭醫師) 都不錯,鄭醫師是女醫師滿細心的.陽光就設備應該花了不少XD"
yum6028,正要發文問明天有沒有牙醫可以看..良璦女醫師聽說很好？ 朋友是推薦民光陳醫師 但明天晚上六點才下班怕沒醫生看了.......
Wennie,要去良璦請找女醫生 不推那個男醫生......
balalakiki,大家假牙套都做多少呀？我全瓷的24k覺得有點貴....還 是這已經很平價了?
ShadeDance,大推中壢的超凡牙醫 醫術好 也不會推不必要的治療 我以前給郝醫師做矯正 現在在台北生活 檢查都還跑回去
majan       ,我家去後站的非凡牙醫，還滿好約的
mishiya     ,想知道+1 今天親戚才推薦陽光（李醫師），說多打幾通應該約得 到（當天打可能可約當天），可惜離我太遠QQ
adole       ,推陽光牙醫，周三上午九點撥電話進去，當晚就能看!! 記得一直重覆撥，大約十分鐘內能撥進去!
piscesivy   ,文中牙醫不錯喔_戴醫師人很好
kofskyviva20,清新牙科劉醫生_女生人又溫柔喔 4683210
linkbean    ,張醫生非凡牙醫
Cruel2      ,1y10M 不是專門的可能也不太有辦法看喔...
elaine4444  ,我上次去桃園長庚，對你來說會太遠嗎？
asablue7788 ,桃園長庚，林口長庚都有
bngee       ,謝謝大家 陽光牙醫周三我沒辦法請假 請問長庚有推薦哪位醫生嗎 非凡牙醫已筆記 感謝~
meijoyce,/智齒
janinehll,壢新 王宏仁醫師！！！
Jokering5566,壢新 王醫師 請一個月前預約
angelafreet,壢新 王醫師 真心推薦
lf2netkobe,壢新 王醫師 智齒之王
Rocker5566,王醫師 就是你了 預約都滿了 有其他建議嗎..
min19850612,早上剛拔完...... God bless you!
fjri1030,我之前傻傻的在台中小診所拔右下水平智齒拔了兩個小時 傷到神經，左下的就去找壢新王醫師但他叫我去長庚拔， 後來看板上推薦去格林牙醫給專門拔智齒的陳奕舟醫生拔十 分鐘內就解決，傷口也復原很好沒有任何問題，他現在自己 到桃園開診所：康喬口腔外科
ann1125,也可以到新當代牙醫診所（民權路的）看看喔，他們有兩段 式拔牙。
Meihuo,世紀對面的聯安牙醫，下顎兩顆腳歪的都在那_拔
fingeree,格林
hsimei,我也是給壢新王醫師拔的 是水平智齒 很快速也不太會痛喔
HuangJ,當代拔4顆 因為要矯正 環境不錯 醫生技術也很好
yyhhnn,我水平智齒發炎也是給王宏仁醫師拔的，技術超好__因為發 炎痛到受不了我是去現場排別人預約沒來的，那天下午場開 放兩名 可以去現場排排看
akiehls,之前在中北路的全家福拔的
bubuw,王醫師 真心推薦 四顆都給他拔
bbenson,格林 陳奕舟
redmixed    ,建議等上排牙齒長出來再去塗 一般下排牙齒比較少蛀
kin106ki    ,大家都推薦桃樂絲，我去的感覺還可以
pttblackcat ,慈惠三街澄品跟格林一家都還蠻有名的，有兒童牙醫
gunlover    ,中壢sogo附近的新生牙醫，沒有華麗的設備 但是醫生有愛心，也有耐心 我家寶貝（2y）喝夜奶喝到蛀牙，補牙一路崩潰亂叫 醫生邊補邊安撫，我們家長都覺得不好意思 醫生反而跟我們說：這很正常，沒關係 生意很好，要預約喔
whitemao    ,推格林，但醫生說可以等牙齒多一點再塗，不過時間 很難約
cacacat     ,直接預約長庚，桃園診所超難約
m5712347    ,謝謝大家熱心的回覆，這樣我心裡有個底，踏實多了^^ 剛剛打去預約真的超級難約的...都要等很久...想請 問，長庚有推薦的醫生嗎？還是沒差捏？謝謝^^
vi29jsy,不愛只好出售
NicePP32,推壢新王醫師 拔水平不會痛且速度快！也不怎麼腫
yaru917,推新生路 聯安 林醫師。但很常休診建議先預約。
z888,想知道康喬好不好Q_Q c大你拔多久? E大 壢新似乎較多人推 Q_Q c大 感謝
chun0713,拔過康橋 倒鉤智齒 醫生手腳很快
Egiot,康喬我一次拔四顆水平智齒，超讚的
cat715,壢新王醫師 雖然越推排越久 但他真的很棒 克服我看牙醫的恐懼 大約開10分鐘 不含等麻藥
mii5566,E大一次拔四顆根本神人(遠目)
PangYangel,一次四顆真敢拔
cookingmama,一次四顆水平?醫生肯?
jean0914,超好奇一次拔四顆水平智齒，是恢復期做仙不吃不喝渡過 的嗎？
alexxxxxx,一次拔4顆哪裡值得驕傲啊?試問您怎麼進食的，這個舉動 非常危險
HBO10383,我也非常不認同一次拔四顆的舉動，非常不明智，會用到非 常多的麻藥，而且容易對神經造成永久性傷害，一次拔四顆 ，後面一個禮拜最好還能吃東西 不過康喬是真的不錯啦，壢新真的太難排，相較之下，康喬 非常好預約，技術也很好
molar5566,ㄧ次拔四顆是有做舒眠麻醉或急著要出國吧 不然通常陳 醫師不會幫病人ㄧ次拔四顆 另外陳醫師打的麻藥是馬上就 會麻的 不用等.....
diestern    ,懷孕時有看過中山路的大偉牙醫 懷孕初期時去的
mable740601 ,桃園市府附近的源芳牙醫 懷孕時看過
whitemao    ,中壢慈惠三街的格林牙醫
sincia723   ,有醫生不看孕婦嗎？沒被拒絕過耶30週隨便找一家看 醫生沒說什麼注意別拍x光就好
aincourt    ,民生路 民生牙醫 我六個月還去洗牙XD
marsgreta   ,中埔一街，康齡牙科，呂醫師，是位女醫生。
dorahwang   ,聖保祿
smallod     ,協和
aptx4869n   ,我懷孕有洗牙 但診所說沒聽過有補助？是同德 十一街的潔德牙醫
swallow28   ,八德 新格牙醫
chinhsin86  ,我在藝文中心附近的京采看過
leehom309536,京采不錯
wanchi00    ,桃智路上有一間 孕期去過 還ok
lan216225   ,懷孕有洗牙，八德  禾悅牙醫
skds        ,壢新醫院
cho122      ,不會痛應該還好，去洗個牙就好了，我也牙痛，我是去 壢新、潔明，吃了止痛、消炎3顆，又不痛了，壢新牙 醫說：懷孕本來就容易牙齒不舒服，洗牙+吃藥，能好 就沒關係，懷孕是可以照x光，不過牙醫會要求至少要1 6-20週以上。
calucu24    ,朝陽。醫師溫柔仔細，醫德醫術都好，會一直叫我慢慢 來
shingoliang,林口長庚
brain1224,林口
countryair,桃園 林口長庚都會 長庚最近啦，其他醫學中心就台大 榮總 馬偕 桃園長庚要先坐到林口長庚，下車處轉搭免費接駁車 林口到桃園長庚約10-15分鐘路程
taiwang8man,中壢沒大醫院
moonslight,我是去林口，壢新跟天晨基本上都不會想去
LetgoWego,直的進去 橫的出來
a53216321,內湖三總
design0606,我覺得壢新還好  至少我的主治不錯 怎麼看大家說的壢新 跟我去的壢新好像不一樣= = 上次蜂窩性組織炎 已經痛到走路都很吃力 掛急診的時候 義工大姊主動推個輪椅來推我去量血壓 候診(好像還跟 醫生說我痛到沒辦法走路) 醫生直接出診間來幫我看診 從看診到入病房 大概一個小時多 本來醫院就有分級  哪些類型的疾病適合哪個級別的醫院 如果大家都往大醫院擠 那只會造成醫療資源的塞車 我對那種小病老是要往大醫院衝的那種心態蠻感冒的
petlover,口腔外科與顳頷，林口與桃園長庚都有
QQKENNY,林口長庚
chang0206,牙科不是有很多人推壢新？
sta52,桃園長庚 和 林口長庚 有些醫生根本ㄧ樣 但是掛號費有差
mrcjyh,桃園長庚和林口長庚不是同一家嗎 地址都在龜山阿
power7,一個頂湖路 一個復興街
beauty199399,去林口長庚超方便，中壢搭汎航就到了
bluesky2,內湖三總 長庚看病的品質太差 菜市場
gogotalk,新竹馬偕
BDUUU,壢新牙科還不錯
aries7441,壢新牙科讚
cracKnel,覺得奇怪，這不是通常都有轉診單嗎？ 自己直接去大醫院掛號 又比較貴
derekQQ,林口長庚。我去年躺著進去，直著出來，原本林口長庚要住2 個月，轉到長庚桃園分院也要2個月。後來真的太悶，在桃 園分院就強行出院。順帶一提，是對方的問題，好險後方有 一台車提供行車記錄器。 不然你可以去新國民和陽明醫院試試看
NaiveMiu,近就壢新 有時間就跑去林口長庚 天晨不推 長輩的經驗都是負面的
soleaching,長期追蹤的三高病症~署桃還可以
jerico,署立桃園醫院或內湖三總
cat715,牙科我都去壢新！很好 上次膽發炎差一點掛掉 壢新除了牙科其他真的不推 急診都 不急診了..
ironyam,壢新我互動下來印象還不錯
danielwu13,壢新還不錯！復健科推林頌凱醫師
XP1,壢新和天晟是大醫院，但是私人醫院，有些自付自費項目。 停車比較不方便，雖然有地下停車場˙˙˙ 要不然就去陽明醫院，陽明幾位主治醫生都很資深了。 遠一點就要去署立桃園醫院，但還算是中壢市（區）。
X566,林口長庚
lasslass,桃園醫院
HuangJ,壢新推牙科 外科要保重 上次BG版有一個延誤治療
AgentZero,乖乖去林口長庚吧 壢新覺得還不錯的只有外科主任的診而已 其他...
ORK,推桃園長庚~掛號費超省
h3po3,去桃園長庚就好，因為有些檢查也是去林口檢查 在桃園長庚掛號比較便宜，人也比較少 雖然是分院但是檢查一樣很完備，沒有的儀器就去林口排檢查
nanostar,"藉題問一下,勞工體檢會去哪一間醫院? tks"
tken06719,台北榮總。 804國軍醫院、天晟。
espanol,壢新算近的最ok的，長庚好遠而且人非常多
tse5400,勞工體檢我會去壢新，因為它是自己做的，很多區域醫院體 檢都外包，驗了數字有問題回醫院問還叫你重驗，結果數字 差很多，最後公司叫我去壢新重做
elohacp4,請問桃園長庚交通車在中壢哪邊可以坐 我現在才知道有桃園長庚
jk1982,推壢新牙科
jojo5417,推桃園長庚
lagers,近就壢新，天晨只有爛。害我白挨一刀
wowowe,牙科的話 聖保祿有個女醫師很厲害喔
starhsueh,"從推文就能知道 為何大醫院(醫學中心)總是大排長龍,急 診為何不急診"
meetghost,壢新 牙科不錯
anus,原po問的是牙科 現在很多牙科診所都有CT了 不用跑大醫院
ropin0320,為何沒人推署桃@@
vInzMing,推醫療分級觀念  小感冒去診所 小病開刀地區醫院 大型 重症醫療中心 課本都教幾年了
mmmababechu,大概兩三年前給陳奕舟醫師拔過，印象中不太痛還很快
lingz1024,陳奕舟醫師好像不在格林了 google也找不到消息說 謝謝Y大!感恩 樓上我也是 昨天痛了一整晚想死 三樓有回喔 康喬口腔外科牙醫診所 我已經預約好了 我剛太痛想立刻去 但接電話的小姐說他們沒看一般牙門診 所以可能只可以幫我看看但不確定能做治療QQ de大 我取消了喲
YTH1990,是陳奕舟醫師 他搬到桃園開了 找康喬口腔外科牙醫診所
AWNESS,陳奕舟醫師 之前給他拔智齒 打完麻藥後只感覺他拿工具 往我嘴巴壓一下 然後就說拔完了 一點感覺都沒有 全程不到5秒鐘  然後就開始塞棉花了 根本是神
b9713228,真的超神，我也給他拔過！他的診所超高級
